,alpha,eta,npmi,diversity
0,auto,symmetric,0.055033745675815156,0.9043478260869565
1,auto,auto,0.055033745675815156,0.9043478260869565
2,asymmetric,symmetric,0.029717282876391502,0.8826086956521739
3,asymmetric,auto,0.029717282876391502,0.8826086956521739
4,symmetric,symmetric,0.0556382802165687,0.8782608695652174
5,symmetric,auto,0.0556382802165687,0.8782608695652174
