dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),dropout,num_layers,num_neurons,Topic diversity(not optimized)
dataset_name,RF,LCB,0,65.2713737487793,0.008819020479469248,0.008819020479469248,0.0,0.46174495687047284,2,1000,0.6260869565217392
dataset_name,RF,LCB,1,55.687455892562866,0.03661521120689339,0.03661521120689339,0.0,0.5632023873137675,2,300,0.6217391304347826
dataset_name,RF,LCB,2,54.2688090801239,-0.05575757533260608,-0.05575757533260608,0.0,0.8350467412036104,3,300,0.36086956521739133
dataset_name,RF,LCB,3,62.69413137435913,0.014975587122020314,0.014975587122020314,0.0,0.5871672839506725,3,100,0.4956521739130435
dataset_name,RF,LCB,4,53.21348547935486,0.041219110297975696,0.041219110297975696,0.0,0.5402566560031494,1,1000,0.6608695652173913
dataset_name,RF,LCB,5,69.52460980415344,0.09202591577980061,0.09202591577980061,0.0,0.02091623790268582,3,1000,0.5652173913043478
dataset_name,RF,LCB,6,62.896637201309204,0.06008029537043885,0.06008029537043885,0.0,0.14790772075211284,1,100,0.7869565217391304
dataset_name,RF,LCB,7,64.38480234146118,0.025049902014529807,0.025049902014529807,0.0,0.4629605395637212,2,300,0.6608695652173913
dataset_name,RF,LCB,8,66.76925325393677,0.059038958471912525,0.059038958471912525,0.0,0.23595061062892547,1,1000,0.7478260869565218
dataset_name,RF,LCB,9,67.193528175354,0.060294621790013034,0.060294621790013034,0.0,0.12171306008525723,3,300,0.6478260869565218
dataset_name,RF,LCB,10,67.04759860038757,0.04822938890714368,0.04822938890714368,0.0,0.12665600871548607,3,300,0.6043478260869565
dataset_name,RF,LCB,11,65.352534532547,0.04102663289506665,0.04102663289506665,0.0,0.20298429199280515,3,300,0.6304347826086957
dataset_name,RF,LCB,12,52.810197591781616,-0.011419928912124813,-0.011419928912124813,0.0,0.3443362329999733,3,1000,0.34782608695652173
dataset_name,RF,LCB,13,61.237685680389404,0.01254070339822504,0.01254070339822504,0.0,0.2843735509099493,3,1000,0.5130434782608696
dataset_name,RF,LCB,14,67.47882962226868,0.012966003841230849,0.012966003841230849,0.0,0.24640277301730548,3,1000,0.5217391304347826
dataset_name,RF,LCB,15,66.71060299873352,0.014629742388780799,0.014629742388780799,0.0,0.23554072362608475,3,1000,0.5217391304347826
dataset_name,RF,LCB,16,68.54405212402344,0.07687121603642458,0.07687121603642458,0.0,0.004308481976733159,3,1000,0.5826086956521739
dataset_name,RF,LCB,17,67.88680648803711,0.051332368924390324,0.051332368924390324,0.0,0.16499248909888742,3,1000,0.5695652173913044
dataset_name,RF,LCB,18,68.74218940734863,0.08440421304379349,0.08440421304379349,0.0,0.062019472138415806,2,1000,0.7434782608695653
dataset_name,RF,LCB,19,63.692360162734985,0.05824861578596982,0.05824861578596982,0.0,0.04681552128284987,3,1000,0.5956521739130435
dataset_name,RF,LCB,20,69.28425288200378,0.0757226025639807,0.0757226025639807,0.0,0.04207978569007587,3,1000,0.6347826086956522
dataset_name,RF,LCB,21,55.04408502578735,0.06755302076611333,0.06755302076611333,0.0,0.0015199447159406688,3,300,0.6
dataset_name,RF,LCB,22,61.95060706138611,0.0906546202387888,0.0906546202387888,0.0,0.023932386827314956,3,100,0.6260869565217392
dataset_name,RF,LCB,23,65.59072637557983,0.06602937481093729,0.06602937481093729,0.0,0.028854652179929215,3,100,0.7086956521739131
dataset_name,RF,LCB,24,64.73526215553284,0.083713774987119,0.083713774987119,0.0,0.02317490842357674,3,300,0.6130434782608696
dataset_name,RF,LCB,25,54.91948843002319,0.07308990896067569,0.07308990896067569,0.0,0.026076580318913054,2,300,0.6434782608695652
dataset_name,RF,LCB,26,64.73162174224854,0.09118060945273068,0.09118060945273068,0.0,0.02477997885315554,1,100,0.7652173913043478
dataset_name,RF,LCB,27,70.51199960708618,0.0894511771348382,0.0894511771348382,0.0,0.02412484570508889,3,1000,0.5869565217391305
dataset_name,RF,LCB,28,53.45359420776367,0.06966560120477938,0.06966560120477938,0.0,0.025285563182693736,1,100,0.6695652173913044
dataset_name,RF,LCB,29,66.13916087150574,0.05893581792499226,0.05893581792499226,0.0,0.024719116929748142,3,100,0.6521739130434783
dataset_name,RF,LCB,30,64.75444746017456,0.042406989159170586,0.042406989159170586,0.0,0.02400015287239296,2,100,0.7260869565217392
dataset_name,RF,LCB,31,57.13349223136902,0.07548454482362697,0.07548454482362697,0.0,0.0237249944075264,2,100,0.6608695652173913
dataset_name,RF,LCB,32,57.71582055091858,0.09134632055898315,0.09134632055898315,0.0,0.02420760539480167,1,100,0.7478260869565218
dataset_name,RF,LCB,33,66.71613788604736,0.08650263593315893,0.08650263593315893,0.0,0.024042097597678197,3,500,0.6173913043478261
dataset_name,RF,LCB,34,62.74676871299744,0.08969867087722452,0.08969867087722452,0.0,0.0243737166748972,1,100,0.7521739130434782
dataset_name,RF,LCB,35,65.93126201629639,0.10052768621270951,0.10052768621270951,0.0,0.02422912816067431,3,100,0.7434782608695653
dataset_name,RF,LCB,36,67.33277916908264,0.09072590264297714,0.09072590264297714,0.0,0.02439009686214996,3,100,0.6956521739130435
dataset_name,RF,LCB,37,64.9886748790741,0.08335980537647457,0.08335980537647457,0.0,0.024505360805929185,2,500,0.7260869565217392
dataset_name,RF,LCB,38,64.24442934989929,0.062056407242236065,0.062056407242236065,0.0,0.024267759143139275,2,100,0.7434782608695653
dataset_name,RF,LCB,39,62.64826512336731,0.08785795250001302,0.08785795250001302,0.0,0.022803956796123417,1,100,0.7434782608695653
